Hospital Name,Specialization,City,Phone No.
Apollo Gleneagles Hospitals,Cardiologist,Bengaluru,9876543210
"AMRI Hospitals, Dhakuria",Cardiologist,Bengaluru,9876543211
"AMRI Hospitals, Salt Lake",Cardiologist,Bengaluru,9876543212
"AMRI Hospitals, Mukundapur",Cardiologist,Delhi,9876543213
"Fortis Hospital, Anandapur",Cardiologist,Delhi,9876543214
Medica Superspecialty Hospital,Cardiologist,Delhi,9876543215
Ruby General Hospital,Cardiologist,Hyderabad,9876543216
Peerless Hospital & B.K. Roy Research Center,Cardiologist,Hyderabad,9876543217
Woodlands Multispeciality Hospital,Cardiologist,Hyderabad,9876543218
CMRI (Calcutta Medical Research Institute),Cardiologist,Kolkata,9876543219
Belle Vue Clinic,Cardiologist,Kolkata,9876543220
Desun Hospital,Cardiologist,Kolkata,9876543221
"Narayana Multispeciality Hospital, Barasat",Cardiologist,Mumbai,9876543222
R N Tagore International Institute of Cardiac Sciences,Cardiologist,Mumbai,9876543223
"ILS Hospital, Dumdum",Cardiologist,Mumbai,9876543224
"ILS Hospital, Salt Lake",Dermatologist,Bengaluru,9876543101
"ILS Hospital, Howrah",Dermatologist,Bengaluru,9876543102
Bhagirathi Neotia Woman & Child Care Centre,Dermatologist,Bengaluru,9876543103
Institute of Neurosciences Kolkata (INK),Dermatologist,Delhi,9876543104
B.P. Poddar Hospital,Dermatologist,Delhi,9876543105
Kothari Medical Centre,Dermatologist,Delhi,9876543106
IRIS Multispeciality Hospital,Dermatologist,Hyderabad,9876543107
Genesis Hospital,Dermatologist,Hyderabad,9876543108
Horizon Life Line Hospital,Dermatologist,Hyderabad,9876543109
Spandan Hospital,Dermatologist,Kolkata,9876543110
EEDF Hospital,Dermatologist,Kolkata,9876543111
Charnock Hospital,Dermatologist,Kolkata,9876543112
Repose Clinic & Nursing Home,Dermatologist,Mumbai,9876543113
Rittika Nursing Home,Dermatologist,Mumbai,9876543114
Anandlok Hospital,Dermatologist,Mumbai,9876543115
NRS Medical College & Hospital,Endocrinologist,Bengaluru,9876543101
SSKM (PG) Hospital,Endocrinologist,Bengaluru,9876543102
R.G. Kar Medical College & Hospital,Endocrinologist,Bengaluru,9876543103
Calcutta National Medical College,Endocrinologist,Delhi,9876543104
Vivekananda Institute of Medical Sciences (Woodburn Park),Endocrinologist,Delhi,9876543105
"ESIC Hospital, Manicktala",Endocrinologist,Delhi,9876543106
Howrah District Hospital,Endocrinologist,Hyderabad,9876543107
Sishu Mangal Hospital,Endocrinologist,Hyderabad,9876543108
Vidyasagar State General Hospital,Endocrinologist,Hyderabad,9876543109
Garden Reach State General Hospital,Endocrinologist,Kolkata,9876543110
Sambhunath Pandit Hospital,Endocrinologist,Kolkata,9876543111
Nil Ratan Sircar Hospital,Endocrinologist,Kolkata,9876543112
Bangur Institute of Neurosciences,Endocrinologist,Mumbai,9876543113
Bangur Institute of Psychiatry,Endocrinologist,Mumbai,9876543114
Beliaghata ID Hospital,Endocrinologist,Mumbai,9876543115
North Suburban Hospital,General Physician,Bengaluru,9876543201
Baguiati Sanjeevani Hospital,General Physician,Bengaluru,9876543202
Rittick Nursing Home,General Physician,Bengaluru,9876543203
Zenith Super Specialist Hospital,General Physician,Delhi,9876543204
ESI Hospital Sealdah,General Physician,Delhi,9876543205
Tapan Sinha Memorial Hospital,General Physician,Delhi,9876543206
